rank,business_id,business_name,category,city,wilaya,cluster,rating,review_count,has_website,has_phone,has_social_media,electrical_related,industrial_related,electricity_meter_score,gas_meter_score,gas_detector_score,wholesale_score,business_quality_score,business_presence_score,prospect_score,prospect_level,best_product,reasons
89,B072,Maison GM,Construction company,Setif,Setif,6,5.0,1.0,False,False,False,False,False,0,0,0,45,66.00761932894751,0,24.45,LOW,Electricity meters,high customer rating
90,B082,CTTP SETIF,Civil engineering company,Setif,Setif,6,5.0,1.0,False,False,False,False,False,0,0,0,45,66.00761932894751,0,24.45,LOW,Electricity meters,high customer rating
91,B091,تينار,Construction company,Setif,Setif,6,4.0,5.0,False,False,False,False,False,0,0,0,45,63.52947068393693,0,23.96,LOW,Electricity meters,
92,B064,Algeria Metal Group,Construction company,Setif,Setif,6,4.5,2.0,False,False,False,False,False,0,0,0,45,63.521851354989415,0,23.95,LOW,Electricity meters,high customer rating
93,B107,CFCE SETIF,Air conditioning contractor,Setif,Setif,2,4.5,40.0,True,False,False,False,False,0,0,0,0,86.18613297878512,40,23.24,LOW,Electricity meters,high customer rating; significant customer review activity; has website
94,B103,zone d'entrepôt et d'activité,Construction company,Setif,Setif,6,3.7,3.0,False,False,False,False,False,0,0,0,45,56.41523865789503,0,22.53,LOW,Electricity meters,
95,B092,Snc sinane structures frères Benbahouche,Metal construction company,Setif,Setif,7,,0.0,False,True,False,False,False,0,0,0,45,30.0,35,22.5,LOW,Electricity meters,has phone contact
96,B086,AD FIXE SETIF,Construction company,Setif,Setif,7,,0.0,False,True,False,False,False,0,0,0,45,30.0,35,22.5,LOW,Electricity meters,has phone contact
97,B097,Combatis Issaadi,Road construction company,Setif,Setif,7,,0.0,False,True,False,False,False,0,0,0,45,30.0,35,22.5,LOW,Electricity meters,has phone contact
98,B117,Bureau expert Hammachi Zahir | مكتب الخبير حماشي زهير,Construction company,Setif,Setif,7,,0.0,False,True,False,False,False,0,0,0,45,30.0,35,22.5,LOW,Electricity meters,has phone contact
